date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-04-07T11:05:09,True
2024-04-07T11:05:09,True
2024-04-07T11:15:10,True
2024-04-07T11:15:10,True
2024-04-07T13:55:20,True
2024-04-07T13:55:20,True
2024-04-07T13:55:20,True
2024-04-07T13:55:20,True
2024-04-07T16:19:55,True
2024-04-07T16:19:55,True
2024-04-07T16:29:55,True
2024-04-07T17:01:00,True
2024-04-07T17:01:00,True
2024-04-07T17:16:47,True
2024-04-07T17:21:47,True
2024-04-07T17:24:33,True
2024-04-07T19:52:46,True
2024-04-07T19:57:46,True
2024-04-07T20:02:45,True
2024-04-07T20:07:45,True
2024-04-07T20:12:45,True
2024-04-07T20:17:45,True
2024-04-07T20:22:45,True
2024-04-07T20:27:45,True
2024-04-07T20:32:45,True
2024-04-07T20:37:45,True
2024-04-07T20:42:45,True
2024-04-15T00:41:26,True
2024-04-15T00:46:26,True
2024-04-15T00:51:25,True
2024-04-15T00:56:25,True
2024-04-15T01:01:25,True
2024-04-15T01:06:25,True
2024-04-15T01:11:26,True
2024-04-15T01:16:27,True
2024-04-15T01:21:25,True
2024-04-15T01:26:25,True
2024-04-15T01:31:28,True
2024-04-15T01:36:25,True
2024-04-15T01:41:25,True
2024-04-15T01:46:25,True
2024-04-15T01:51:25,True
2024-04-15T01:56:25,True
2024-04-15T02:01:25,True
2024-04-15T02:06:25,True
2024-04-15T02:11:26,True
2024-04-15T02:16:25,True
2024-04-15T02:21:25,True
2024-04-15T02:26:25,True
2024-04-15T02:31:25,True
2024-04-15T02:36:25,True
2024-04-15T02:41:25,True
2024-04-15T02:46:25,True
2024-04-15T02:51:25,True
2024-04-15T02:56:25,True
2024-04-15T03:01:25,True
2024-04-15T03:06:25,True
2024-04-15T03:11:25,True
2024-04-15T03:16:25,True
2024-04-15T03:21:26,True
2024-04-15T03:26:25,True
2024-04-15T03:31:25,True
2024-04-15T03:36:25,True
2024-04-15T03:41:25,True
2024-04-15T03:46:25,True
2024-04-15T03:51:25,True
2024-04-15T03:56:25,True
2024-04-15T04:01:25,True
2024-04-15T04:06:26,True
2024-04-15T04:11:25,True
2024-04-15T04:16:26,True
2024-04-15T04:21:25,True
2024-04-15T04:26:25,True
2024-04-15T04:31:25,True
2024-04-15T04:36:25,True
2024-04-15T04:41:25,True
2024-04-15T04:46:25,True
2024-04-15T04:51:25,True
2024-04-15T04:56:25,True
2024-04-15T05:01:25,True
2024-04-15T05:06:25,True
2024-04-15T05:11:25,True
2024-04-15T05:16:25,True
2024-04-15T05:21:25,True
2024-04-15T05:26:25,True
2024-04-15T05:31:25,True
2024-04-15T05:36:25,True
2024-04-15T05:41:25,True
2024-04-15T05:46:25,True
2024-04-15T05:51:25,True
2024-04-15T05:56:25,True
2024-04-15T06:01:25,True
2024-04-15T06:06:25,True
2024-04-15T06:11:25,True
2024-04-15T06:16:25,True
2024-04-15T06:21:25,True
2024-04-15T06:26:25,True
2024-04-15T06:31:25,True
2024-04-15T06:36:25,True
2024-04-15T06:41:25,True
2024-04-15T06:46:25,True
2024-04-15T06:51:25,True
2024-04-15T06:56:25,True
2024-04-15T07:01:25,True
2024-04-15T07:06:25,True
2024-04-15T07:11:25,True
2024-04-15T07:16:25,True
2024-04-15T07:21:25,True
