date,UP
2024-01-25T15:27:38,True
2024-01-25T15:27:38,True
2024-01-25T15:33:55,True
2024-01-25T15:33:55,True
2024-01-25T15:38:57,True
2024-01-25T15:38:57,True
2024-01-25T15:38:57,True
2024-01-25T15:43:58,True
2024-01-25T15:43:58,True
2024-01-25T15:48:57,True
2024-01-25T15:48:57,True
2024-01-25T15:53:55,True
2024-01-25T15:58:57,True
2024-01-25T15:58:08,True
2024-01-25T16:03:55,True
2024-01-25T16:03:58,True
2024-01-25T16:03:58,True
2024-01-25T16:08:59,True
2024-01-25T16:08:59,True
2024-01-25T16:13:56,True
2024-01-25T16:18:57,True
2024-01-25T16:18:57,True
2024-01-25T16:18:57,True
2024-01-25T16:23:58,True
2024-01-25T16:23:58,True
2024-01-25T16:28:58,True
2024-01-25T16:28:58,True
2024-01-25T16:32:55,True
2024-01-25T16:38:58,True
2024-01-25T16:38:58,True
2024-01-25T16:38:58,True
2024-01-25T16:44:00,True
2024-01-25T16:44:00,True
2024-01-25T16:48:58,True
2024-01-25T16:48:58,True
2024-01-25T16:53:57,True
2024-01-25T16:53:57,True
2024-01-25T16:58:57,True
2024-01-25T16:58:57,True
2024-01-25T17:03:57,True
2024-01-25T17:03:57,True
2024-01-25T17:08:57,True
2024-01-25T17:08:57,True
2024-01-25T17:13:57,True
2024-01-25T17:17:43,True
2024-01-25T17:18:58,True
2024-01-25T17:18:58,True
2024-01-25T17:23:58,True
2024-01-25T17:23:58,True
2024-01-25T17:28:58,True
2024-01-25T17:28:58,True
2024-01-25T17:33:58,True
2024-01-25T17:33:58,True
2024-01-25T17:38:58,True
2024-01-25T17:38:58,True
2024-01-25T17:43:59,True
2024-01-25T17:43:59,True
2024-01-25T17:48:57,True
2024-01-25T17:53:58,True
2024-01-25T17:53:58,True
2024-01-25T17:53:58,True
2024-01-25T17:58:58,True
2024-01-25T17:58:58,True
2024-01-25T18:03:56,True
2024-01-25T18:09:00,True
2024-01-25T18:09:00,True
2024-01-25T18:09:00,True
2024-01-25T18:09:00,True
2024-01-25T18:18:59,True
2024-01-25T18:18:59,True
2024-01-25T18:18:59,True
2024-01-25T18:24:01,True
2024-01-25T18:24:01,True
2024-01-25T18:28:59,True
2024-01-25T18:28:59,True
2024-01-25T18:33:59,True
2024-01-25T18:33:59,True
2024-01-25T18:39:00,True
2024-01-25T18:39:00,True
2024-01-25T18:43:58,True
2024-01-25T18:48:59,True
2024-01-25T18:49:01,True
2024-01-25T18:49:01,True
2024-01-25T18:48:59,True
2024-01-25T18:58:58,True
2024-01-25T18:58:58,True
2024-01-25T18:58:58,True
2024-01-25T19:03:59,True
2024-01-25T19:03:59,True
2024-01-25T19:09:00,True
2024-01-25T19:09:00,True
2024-01-25T19:13:59,True
2024-01-25T19:13:59,True
2024-01-25T19:18:59,True
2024-01-25T19:18:59,True
2024-01-25T19:24:00,True
2024-01-25T19:24:00,True
2024-01-25T19:28:58,True
2024-01-25T19:28:58,True
2024-01-25T19:33:58,True
2024-01-25T19:38:57,True
2024-01-25T19:38:58,True
2024-01-25T19:44:00,True
2024-01-25T19:44:00,True
2024-01-25T19:44:00,True
2024-01-25T19:44:00,True
2024-01-25T19:53:59,True
2024-01-25T19:53:59,True
2024-01-25T19:59:00,True
2024-01-25T19:59:00,True
2024-01-25T19:59:00,True
2024-01-25T19:59:00,True
2024-01-25T20:08:58,True
2024-01-25T20:08:58,True
2024-01-25T20:13:59,True
2024-01-25T20:14:00,True
2024-01-25T20:13:59,True
2024-01-25T20:14:00,True
2024-01-25T20:23:57,True
2024-01-25T20:23:58,True
2024-01-25T20:23:58,True
2024-01-25T20:28:58,True
2024-01-25T20:28:58,True
2024-01-25T20:33:58,True
2024-01-25T20:38:59,True
2024-01-25T20:39:00,True
2024-01-25T20:38:59,True
2024-01-25T20:39:00,True
2024-01-25T20:48:57,True
2024-01-25T20:48:58,True
2024-01-25T20:53:59,True
2024-01-25T20:53:59,True
2024-01-25T20:53:59,True
2024-01-25T20:53:59,True
2024-01-25T21:03:57,True
2024-01-25T21:03:58,True
2024-01-25T21:03:58,True
2024-01-25T21:08:58,True
2024-01-25T21:08:58,True
2024-01-25T21:13:56,True
2024-01-25T21:18:59,True
2024-01-25T21:18:59,True
2024-01-25T21:18:59,True
2024-01-25T21:18:59,True
2024-01-25T21:28:55,True
2024-01-25T21:28:59,True
2024-01-25T21:28:59,True
2024-01-25T21:33:58,True
2024-01-25T21:33:58,True
2024-01-25T21:38:58,True
2024-01-25T21:38:58,True
2024-01-25T21:43:58,True
2024-01-25T21:43:58,True
2024-01-25T21:48:57,True
2024-01-25T21:48:57,True
2024-01-25T21:53:57,True
2024-01-25T21:53:57,True
2024-01-25T21:58:57,True
2024-01-25T22:03:57,True
2024-01-25T22:03:58,True
2024-01-25T22:03:58,True
2024-01-25T22:03:57,True
2024-01-25T22:13:55,True
2024-01-25T22:13:57,True
2024-01-25T22:13:57,True
2024-01-25T22:18:58,True
2024-01-25T22:18:58,True
2024-01-25T22:23:58,True
2024-01-25T22:23:58,True
2024-01-25T22:28:57,True
2024-01-25T22:28:57,True
2024-01-25T22:33:57,True
2024-01-25T22:33:57,True
2024-01-25T22:38:57,True
2024-01-25T22:38:57,True
2024-01-25T22:43:58,True
2024-01-25T22:43:58,True
2024-01-25T22:48:57,True
2024-01-25T22:48:57,True
2024-01-25T22:53:57,True
2024-01-25T22:58:57,True
2024-01-25T22:58:58,True
2024-01-25T22:58:58,True
2024-01-25T22:58:57,True
2024-01-25T23:08:58,True
2024-01-25T23:08:58,True
2024-01-25T23:08:58,True
2024-01-25T23:13:58,True
2024-01-25T23:13:58,True
2024-01-25T23:18:57,True
2024-01-25T23:23:58,True
2024-01-25T23:23:59,True
2024-01-25T23:23:59,True
2024-01-25T23:23:58,True
2024-01-25T23:33:57,True
2024-01-25T23:33:57,True
2024-01-25T23:33:57,True
2024-01-25T23:38:58,True
2024-01-25T23:38:58,True
2024-01-25T23:43:58,True
2024-01-25T23:43:58,True
2024-01-25T23:48:56,True
2024-01-25T23:53:58,True
2024-01-25T23:53:58,True
2024-01-25T23:53:58,True
2024-01-25T23:53:58,True
2024-01-26T00:03:58,True
2024-01-26T00:03:58,True
2024-01-26T00:03:58,True
2024-01-26T00:03:58,True
2024-01-26T00:13:58,True
2024-01-26T00:13:58,True
2024-01-26T00:13:58,True
2024-01-26T00:13:58,True
2024-01-26T00:23:57,True
2024-01-26T00:23:58,True
2024-01-26T00:23:57,True
2024-01-26T00:23:58,True
2024-01-26T00:33:57,True
2024-01-26T00:33:58,True
2024-01-26T00:33:58,True
2024-01-26T00:33:57,True
2024-01-26T00:43:57,True
2024-01-26T00:43:57,True
2024-01-26T00:43:57,True
2024-01-26T00:48:58,True
2024-01-26T00:48:58,True
2024-01-26T00:53:57,True
2024-01-26T00:53:57,True
2024-01-26T00:58:57,True
2024-01-26T00:58:57,True
2024-01-26T01:03:57,True
2024-01-26T01:03:57,True
2024-01-26T01:08:57,True
2024-01-26T01:08:57,True
2024-01-26T01:13:56,True
2024-01-26T01:18:57,True
2024-01-26T01:18:57,True
2024-01-26T01:18:57,True
2024-01-26T01:23:57,True
2024-01-26T01:23:57,True
2024-01-26T01:28:58,True
2024-01-26T01:28:58,True
2024-01-26T01:33:56,True
2024-01-26T01:38:56,True
2024-01-26T01:38:57,True
2024-01-26T01:38:57,True
2024-01-26T01:43:57,True
2024-01-26T01:43:57,True
2024-01-26T01:48:56,True
2024-01-26T01:53:57,True
2024-01-26T01:53:57,True
2024-01-26T01:53:57,True
2024-01-26T01:53:57,True
2024-01-26T02:03:57,True
