date,UP
2024-04-16T03:00:48,True
2024-04-16T03:05:48,True
2024-04-16T03:10:48,True
2024-04-16T03:15:48,True
2024-04-16T03:20:48,True
2024-04-16T03:25:48,True
2024-04-16T03:30:48,True
2024-04-16T03:35:48,True
2024-04-16T03:40:48,True
2024-04-16T03:45:48,True
2024-04-16T03:50:48,True
2024-04-16T03:55:48,True
2024-04-16T04:00:48,True
2024-04-16T04:05:48,True
2024-04-16T04:10:48,True
2024-04-16T04:15:48,True
2024-04-16T04:20:48,True
2024-04-16T04:25:48,True
2024-04-16T04:30:48,True
2024-04-16T04:35:48,True
2024-04-16T04:40:48,True
2024-04-16T04:45:48,True
2024-04-16T04:50:48,True
2024-04-16T04:55:48,True
2024-04-16T05:00:48,True
2024-04-16T05:05:48,True
2024-04-16T05:10:48,True
2024-04-16T05:15:48,True
2024-04-16T05:20:48,True
2024-04-16T05:25:48,True
2024-04-16T05:30:48,True
2024-04-16T05:35:48,True
2024-04-16T05:40:48,True
2024-04-16T05:45:48,True
2024-04-16T05:50:48,True
2024-04-16T05:55:48,True
2024-04-16T06:00:48,True
2024-04-16T06:05:48,True
2024-04-16T06:10:48,True
2024-04-16T06:15:48,True
2024-04-16T06:20:48,True
2024-04-16T06:25:48,True
2024-04-16T06:30:48,True
2024-04-16T06:35:48,True
2024-04-16T06:40:48,True
2024-04-16T06:45:48,True
2024-04-16T06:50:38,True
2024-04-16T06:55:38,True
