date,UP
2024-04-15T03:01:27,True
2024-04-15T03:06:28,True
2024-04-15T03:11:27,True
2024-04-15T03:16:27,True
2024-04-15T03:21:28,True
2024-04-15T03:26:27,True
2024-04-15T03:31:28,True
2024-04-15T03:36:28,True
2024-04-15T03:41:28,True
2024-04-15T03:46:27,True
2024-04-15T03:51:27,True
2024-04-15T03:56:28,True
2024-04-15T04:01:28,True
2024-04-15T04:06:28,True
2024-04-15T04:11:28,True
2024-04-15T04:16:28,True
2024-04-15T04:21:27,True
2024-04-15T04:26:28,True
2024-04-15T04:31:27,True
2024-04-15T04:36:27,True
2024-04-15T04:41:27,True
2024-04-15T04:46:28,True
2024-04-15T04:51:28,True
2024-04-15T04:56:28,True
2024-04-15T05:01:27,True
2024-04-15T05:06:27,True
2024-04-15T05:11:27,True
2024-04-15T05:16:27,True
2024-04-15T05:21:28,True
2024-04-15T05:26:27,True
2024-04-15T05:31:27,True
2024-04-15T05:36:27,True
2024-04-15T05:41:27,True
2024-04-15T05:46:28,True
2024-04-15T05:51:28,True
2024-04-15T05:56:27,True
2024-04-15T06:01:27,True
2024-04-15T06:06:28,True
2024-04-15T06:11:28,True
2024-04-15T06:16:27,True
2024-04-15T06:21:28,True
2024-04-15T06:26:27,True
2024-04-15T06:31:27,True
2024-04-15T06:36:27,True
2024-04-15T06:41:28,True
2024-04-15T06:46:28,True
2024-04-15T06:51:27,True
2024-04-15T06:56:27,True
2024-04-15T07:01:27,True
2024-04-15T07:06:27,True
2024-04-15T07:11:27,True
2024-04-15T07:16:27,True
2024-04-15T07:21:28,True
2024-04-15T07:26:27,True
2024-04-15T07:31:27,True
2024-04-15T07:36:27,True
2024-04-15T07:41:27,True
2024-04-15T07:46:27,True
2024-04-15T07:51:27,True
2024-04-15T07:56:27,True
2024-04-15T08:01:28,True
2024-04-15T08:06:27,True
2024-04-15T08:11:27,True
2024-04-15T08:16:27,True
2024-04-15T08:21:27,True
2024-04-15T08:26:27,True
2024-04-15T08:31:27,True
2024-04-15T08:36:27,True
2024-04-15T08:41:27,True
2024-04-15T08:46:28,True
2024-04-15T08:51:28,True
2024-04-15T08:56:27,True
2024-04-15T09:01:27,True
2024-04-15T09:06:27,True
2024-04-15T09:11:27,True
2024-04-15T09:16:28,True
2024-04-15T09:21:27,True
2024-04-15T09:26:28,True
2024-04-15T09:31:27,True
2024-04-15T09:36:27,True
2024-04-15T09:41:27,True
2024-04-15T09:46:27,True
2024-04-15T09:51:27,True
2024-04-15T09:56:28,True
2024-04-15T10:01:28,True
2024-04-15T10:06:27,True
2024-04-15T10:11:27,True
2024-04-15T10:16:27,True
2024-04-15T10:21:27,True
2024-04-15T10:26:27,True
2024-04-15T10:31:27,True
2024-04-15T10:36:27,True
2024-04-15T10:41:27,True
2024-04-15T10:46:27,True
2024-04-15T10:51:27,True
2024-04-15T10:56:27,True
2024-04-15T11:01:27,True
2024-04-15T11:06:27,True
2024-04-15T11:11:27,True
2024-04-15T11:16:27,True
2024-04-15T11:21:28,True
2024-04-15T11:26:27,True
2024-04-15T11:31:28,True
2024-04-15T11:36:27,True
2024-04-15T11:41:28,True
2024-04-15T11:46:27,True
2024-04-15T11:51:27,True
2024-04-15T11:56:27,True
2024-04-15T12:01:28,True
2024-04-15T12:06:27,True
2024-04-15T12:11:27,True
2024-04-15T12:16:27,True
2024-04-15T12:21:27,True
2024-04-15T12:26:28,True
2024-04-15T12:31:27,True
2024-04-15T12:36:27,True
2024-04-15T12:41:27,True
2024-04-15T12:46:27,True
2024-04-15T12:51:27,True
2024-04-15T12:56:28,True
2024-04-15T13:01:28,True
2024-04-15T13:06:28,True
2024-04-15T13:11:27,True
2024-04-15T13:16:27,True
2024-04-15T13:21:28,True
2024-04-15T13:26:28,True
2024-04-15T13:31:27,True
2024-04-15T13:36:28,True
2024-04-15T13:41:27,True
2024-04-15T13:46:28,True
2024-04-15T13:51:28,True
2024-04-15T13:56:29,True
2024-04-15T14:01:28,True
2024-04-15T14:06:27,True
2024-04-15T14:11:27,True
2024-04-15T14:16:28,True
2024-04-15T14:21:27,True
2024-04-15T14:26:27,True
2024-04-15T14:31:28,True
2024-04-15T14:36:27,True
2024-04-15T14:41:27,True
2024-04-15T14:46:27,True
2024-04-15T14:51:27,True
2024-04-15T14:56:27,True
2024-04-15T15:01:27,True
2024-04-15T15:06:28,True
2024-04-15T15:11:28,True
2024-04-15T15:16:28,True
2024-04-15T15:21:28,True
2024-04-15T15:39:43,True
2024-04-15T15:46:44,True
2024-04-15T15:46:44,True
2024-04-15T15:46:44,True
2024-04-15T15:59:43,False
2024-04-15T16:02:46,False
2024-04-15T16:08:34,True
