date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-04-07T11:05:12,True
2024-04-07T11:05:12,True
2024-04-07T11:15:13,True
2024-04-07T11:15:13,True
2024-04-07T13:55:22,True
2024-04-07T13:55:22,True
2024-04-07T13:55:22,True
2024-04-07T13:55:22,True
2024-04-07T16:20:00,True
2024-04-07T16:20:00,True
2024-04-07T16:29:57,True
2024-04-07T17:01:03,True
2024-04-07T17:01:03,True
2024-04-07T17:16:53,True
2024-04-07T17:21:53,True
2024-04-07T17:24:35,True
2024-04-07T19:52:47,True
2024-04-07T19:57:48,True
2024-04-07T20:02:47,True
2024-04-07T20:07:47,True
2024-04-07T20:12:47,True
2024-04-07T20:17:47,True
2024-04-07T20:22:47,True
2024-04-07T20:27:47,True
2024-04-07T20:32:47,True
2024-04-07T20:37:47,True
2024-04-07T20:42:47,True
2024-04-15T00:41:27,True
2024-04-15T00:46:27,True
2024-04-15T00:51:27,True
2024-04-15T00:56:27,True
2024-04-15T01:01:27,True
2024-04-15T01:06:27,True
2024-04-15T01:11:27,True
2024-04-15T01:16:28,True
2024-04-15T01:21:27,True
2024-04-15T01:26:27,True
2024-04-15T01:31:29,True
2024-04-15T01:36:27,True
2024-04-15T01:41:27,True
2024-04-15T01:46:27,True
2024-04-15T01:51:27,True
2024-04-15T01:56:27,True
2024-04-15T02:01:27,True
2024-04-15T02:06:27,True
2024-04-15T02:11:27,True
2024-04-15T02:16:27,True
2024-04-15T02:21:27,True
2024-04-15T02:26:27,True
2024-04-15T02:31:27,True
2024-04-15T02:36:27,True
2024-04-15T02:41:27,True
2024-04-15T02:46:27,True
2024-04-15T02:51:27,True
2024-04-15T02:56:27,True
2024-04-15T03:01:27,True
2024-04-15T03:06:27,True
2024-04-15T03:11:27,True
2024-04-15T03:16:27,True
2024-04-15T03:21:27,True
2024-04-15T03:26:27,True
2024-04-15T03:31:27,True
2024-04-15T03:36:27,True
2024-04-15T03:41:27,True
2024-04-15T03:46:27,True
2024-04-15T03:51:27,True
2024-04-15T03:56:27,True
2024-04-15T04:01:27,True
2024-04-15T04:06:27,True
2024-04-15T04:11:27,True
2024-04-15T04:16:27,True
2024-04-15T04:21:27,True
2024-04-15T04:26:27,True
2024-04-15T04:31:27,True
2024-04-15T04:36:27,True
2024-04-15T04:41:27,True
2024-04-15T04:46:27,True
2024-04-15T04:51:27,True
2024-04-15T04:56:27,True
2024-04-15T05:01:27,True
2024-04-15T05:06:27,True
2024-04-15T05:11:27,True
2024-04-15T05:16:27,True
2024-04-15T05:21:27,True
2024-04-15T05:26:27,True
2024-04-15T05:31:27,True
2024-04-15T05:36:27,True
2024-04-15T05:41:27,True
2024-04-15T05:46:27,True
2024-04-15T05:51:27,True
2024-04-15T05:56:27,True
2024-04-15T06:01:27,True
2024-04-15T06:06:27,True
2024-04-15T06:11:27,True
2024-04-15T06:16:27,True
2024-04-15T06:21:27,True
2024-04-15T06:26:27,True
2024-04-15T06:31:27,True
2024-04-15T06:36:27,True
2024-04-15T06:41:27,True
2024-04-15T06:46:27,True
2024-04-15T06:51:27,True
2024-04-15T06:56:27,True
2024-04-15T07:01:27,True
2024-04-15T07:06:27,True
2024-04-15T07:11:27,True
2024-04-15T07:16:27,True
2024-04-15T07:21:27,True
